[2026-01-29 10:29:51][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04c/exp01/train_20260129_102951_gpu1_pid1035480.log
[2026-01-29 10:29:51][INFO] 进程 PID: 1035480
[2026-01-29 10:29:51][INFO] ========== PINN 训练开始 ==========
[2026-01-29 10:29:51][INFO] 物理项权重 λ_pde = 0.1
[2026-01-29 10:29:51][INFO] 使用设备: cuda
[2026-01-29 10:29:51][INFO] 训练参数: {'lambda_pde': 0.1, 'epochs': 200, 'lr': 0.005, 'batch_cases': 1, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.03, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04c/exp01', 'ckpt_dir': 'checkpoints/M04c/exp01'}
[2026-01-29 10:29:51][INFO] 数据集大小: 141 cases
[2026-01-29 10:29:51][INFO] 每 case 采样点数: 320000
[2026-01-29 10:29:52][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-29 10:29:52][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=6)
[2026-01-29 15:17:12][INFO] [Epoch 125] MSE Loss=516.980703 | PDE Loss=2542.771045 | λ_pde=2.423e-03 | LR=1.56e-04
[2026-01-29 15:19:32][INFO] [Epoch 126] MSE Loss=517.863830 | PDE Loss=2611.157117 | λ_pde=2.352e-03 | LR=1.56e-04
[2026-01-29 15:21:51][INFO] [Epoch 127] MSE Loss=517.249291 | PDE Loss=2647.321076 | λ_pde=2.282e-03 | LR=1.56e-04
[2026-01-29 15:24:13][INFO] [Epoch 128] MSE Loss=513.401430 | PDE Loss=2666.194210 | λ_pde=2.215e-03 | LR=7.81e-05
[2026-01-29 15:26:31][INFO] [Epoch 129] MSE Loss=514.261922 | PDE Loss=2679.217251 | λ_pde=2.149e-03 | LR=7.81e-05
[2026-01-29 15:28:47][INFO] [Epoch 130] MSE Loss=512.521128 | PDE Loss=2704.893786 | λ_pde=2.086e-03 | LR=7.81e-05
[2026-01-29 15:31:09][INFO] [Epoch 131] MSE Loss=513.935160 | PDE Loss=2720.579118 | λ_pde=2.024e-03 | LR=7.81e-05
[2026-01-29 15:33:26][INFO] [Epoch 132] MSE Loss=514.596726 | PDE Loss=2743.669621 | λ_pde=1.964e-03 | LR=7.81e-05
[2026-01-29 15:35:46][INFO] [Epoch 133] MSE Loss=511.808854 | PDE Loss=2778.658297 | λ_pde=1.906e-03 | LR=7.81e-05
[2026-01-29 15:38:09][INFO] [Epoch 134] MSE Loss=512.840140 | PDE Loss=2790.508295 | λ_pde=1.850e-03 | LR=7.81e-05
[2026-01-29 15:40:30][INFO] [Epoch 135] MSE Loss=511.992500 | PDE Loss=2811.148553 | λ_pde=1.795e-03 | LR=7.81e-05
